Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
381,Immanuel Quickley,PG,21.0,NYK,33,0,619,123,316,0.3892,59,155,0.3806,64,161,0.3975,98,104,0.9423,15,62,77,79,15,9,34,64,403
382,Jahmi'us Ramsey,SG,19.0,SAC,4,0,16,2,4,0.5,1,3,0.3333,1,1,1.0,0,0,0.0,0,4,4,1,0,1,1,0,5
383,Chasson Randle,PG,27.0,ORL,8,0,151,15,35,0.4286,7,23,0.3043,8,12,0.6667,5,7,0.7143,1,14,15,23,2,1,6,18,42
384,Julius Randle,PF,26.0,NYK,37,37,1358,307,636,0.4827,69,169,0.4083,238,467,0.5096,177,220,0.8045,52,357,409,205,29,9,120,115,860
385,Cam Reddish,SF,21.0,ATL,26,21,750,96,263,0.365,33,126,0.2619,63,137,0.4599,67,82,0.8171,22,82,104,35,33,9,34,68,292
386,J.J. Redick,SG,36.0,NOP,31,0,576,87,214,0.4065,51,140,0.3643,36,74,0.4865,45,47,0.9574,3,49,52,40,9,2,25,37,270
387,Paul Reed,PF,21.0,PHI,5,0,55,9,22,0.4091,0,3,0.0,9,19,0.4737,0,0,0.0,7,3,10,3,1,4,5,4,18
388,Naz Reid,C,21.0,MIN,34,13,699,158,307,0.5147,32,94,0.3404,126,213,0.5915,55,75,0.7333,39,123,162,44,21,41,38,104,403
389,Nick Richards,PF,23.0,CHO,8,0,23,3,6,0.5,0,0,0.0,3,6,0.5,5,6,0.8333,2,4,6,0,0,0,1,4,11
390,Josh Richardson,SG,27.0,DAL,25,25,788,114,267,0.427,38,132,0.2879,76,135,0.563,55,58,0.9483,22,60,82,63,23,6,37,70,321
391,Austin Rivers,SG,28.0,NYK,21,2,442,58,135,0.4296,28,77,0.3636,30,58,0.5172,10,14,0.7143,5,42,47,42,12,0,22,32,154
392,Andre Roberson,SG,29.0,BRK,5,0,63,2,14,0.1429,1,8,0.125,1,6,0.1667,1,2,0.5,7,8,15,4,3,1,2,4,6
393,Duncan Robinson,SF,26.0,MIA,36,36,1202,151,352,0.429,117,299,0.3913,34,53,0.6415,42,50,0.84,2,140,142,58,17,8,48,90,461
394,Glenn Robinson III,SF,27.0,SAC,23,2,369,42,99,0.4242,16,44,0.3636,26,55,0.4727,21,23,0.913,11,34,45,20,4,3,11,23,121
395,Jerome Robinson,SG,23.0,WAS,13,3,221,22,67,0.3284,9,31,0.2903,13,36,0.3611,15,17,0.8824,2,31,33,18,6,2,11,21,68
396,Mitchell Robinson,C,22.0,NYK,27,27,778,103,156,0.6603,0,0,0.0,103,156,0.6603,22,46,0.4783,97,129,226,14,32,41,22,78,228
397,Isaiah Roby,PF,22.0,OKC,30,12,640,99,190,0.5211,18,53,0.3396,81,137,0.5912,42,58,0.7241,46,117,163,53,25,17,40,82,258
